la abeja,bee,la abeja
el águila,eagle,el&#160;&#225;guila
la alondra,"lark, skylark",la alondra
el antílope,antelope,el ant&#237;lope
la araña,spider,la ara&#241;a
la ardilla,squirrel,la ardilla
el arenque,herring,el arenque
el atún,tuna,el at&#250;n
el avestruz,ostrich,el avestruz
la avispa,wasp,la avispa
la ballena,whale,la ballena
el bisonte,bison,el bisonte
el bogavante,lobster,el bogavante
el búfalo,buffalo,el b&#250;falo
el búho,owl,el b&#250;ho
el burro,donkey,el burro
el caballo,horse,el caballo
la cabra,goat,la cabra
el cabrito,kid,el cabrito
el calamar,squid,el calamar
el camaleón,chameleon,el camale&#243;n
el camello,camel,el camello
el cangrejo,"crayfish, crab",el cangrejo
el canguro,kangaroo,el canguro
el caracol,snail,el caracol
la carpa,carp,la carpa
el castor,beaver,el castor
la cebra,zebra,la cebra
el cerdo,pig,el cerdo
el ciervo,"deer, stag",el ciervo
el ciervo volante,stag beetle,el ciervo volante
la cigüeña,stork,la cig&#252;e&#241;a
el cisne,swan,el cisne
la cobaya,guinea pig,la cobaya
el cocodrilo,crocodile,el cocodrilo
el cochinillo,piglet,el cochinillo
el colibri,hummingbird,el colibri
el conejo,rabbit,el conejo
el corzo,roe,el corzo
la cucaracha,cockroach,la cucaracha
el cuco,cuckoo,el cuco
el cuervo,raven,el cuervo
el chacal,jackal,el chacal
el chimpancé,chimpanzee,el chimpanc&#233;
el chinche,"chinch, bedbug",el chinche
el delfín,dolphin,el delf&#237;n
el elefante,elephant,el elefante
el erizo,hedgehog,el erizo
el escorpión,scorpion,el escorpi&#243;n
el estornino,starling,el estornino
el faisán,pheasant,el fais&#225;n
la foca,seal,la foca
la gallina,hen,la gallina
el gallo,cock,el gallo
la gamuza,chamois,la gamuza
la garrapata,tick,la garrapata
el gato,cat,el gato
la gaviota,"gull, seagull",la gaviota
la golondrina,swallow,la golondrina
el gorila,gorilla,el&#160;gorila
el gorrión,sparrow,el gorri&#243;n
el grillo,cricket,el grillo
la grulla,crane,la grulla
el halcón,falcon,el halc&#243;n
el hámster,hamster,el h&#225;mster
la hiena,hyena,la hiena
el hipopótamo,hippo,el hipop&#243;tamo
la hormiga,ant,la hormiga
el hurón,ferret,el hur&#243;n
el jabalí,boar,el jabal&#237;
el jaguar,jaguar,el jaguar
la jirafa,giraffe,la jirafa
el lagarto,lizard,el lagarto
la langosta,locust,la langosta
el león,lion,el le&#243;n
el lince,lynx,el lince
el lobo,wolf,el lobo
el loro,parrot,el loro
el lucio,pike,el lucio
el mapache,raccoon,el mapache
la mariposa,butterfly,la mariposa
la medusa,"jellyfish, medusa",la medusa
la mosca,fly,la mosca
el mosquito,"gnat, mosquito",el mosquito
el murciélago,bat,el murci&#233;lago
la nutria,otter,la nutria
la oca,goose,la oca
la onza,cheetah,la onza
el oso,bear,el oso
el oso polar,polar bear,el oso polar
la ostra,oyster,la ostra
la oveja,sheep,la oveja
el pájaro,bird,el p&#225;jaro
la paloma,dove,la paloma
la panda,panda bear,la panda
la pantera,panther,la pantera
el paro,tit,el paro
el pato,duck,el pato
el pavo,turkey,el pavo
el pavón,peacock,el pav&#243;n
el pelícano,pelican,el pel&#237;cano
el perezoso,sloth,el perezoso
el perro,dog,el perro
el pez,fish,el pez
el pingüino,penguin,el ping&#252;ino
el piojo,louse,el piojo
el pulpo,octopus,el pulpo
el pollo,chicken,el pollo
el poni,pony,el poni
el potro,foal,el potro
la rana,frog,la rana
la rata,rat,la rata
el ratón,mouse,el rat&#243;n
la raya,ray fish,la raya
el renacuajo,tadpole,el renacuajo
el rinoceronte,"rhino, rhinoceros",el rinoceronte
el ruiseñor,nightingale,el ruise&#241;or
el salmón,salmon,el salm&#243;n
el sapo,toad,el sapo
la serpiente,snake,la&#160;serpiente
el ternero,calf,el ternero
el tiburón,shark,el tibur&#243;n
el tigre,tiger,el tigre
el topo,mole,el topo
el toro,bull,el toro
la tortuga,turtle,la tortuga
la trucha,trout,la trucha
la vaca,cow,la vaca
la víbora,viper,la v&#237;bora
la yegua,mare,la yegua
el zorro,fox,el zorro
